"","Var1","Freq"
"1","",230030
"2","K",78994
"3","M",6300
"4","0",50
"5","5",18
"6","1",8
"7","2",8
"8","B",8
"9","?",6
"10","7",4
"11","m",4
"12","+",2
"13","-",1
"14","3",1
"15","4",1
"16","6",1
"17","8",1
"18","H",1
